"Instante lectura","Presión"
"2015-05-22 00:00:00.0","1017.4"
"2015-05-23 00:00:00.0","1012.4"
"2015-05-24 00:00:00.0","1010.4"
"2015-05-25 00:00:00.0","1012.2"
"2015-05-26 00:00:00.0","1013.0"
"2015-05-27 00:00:00.0","1010.5"
"2015-05-28 00:00:00.0","1008.5"
"2015-05-29 00:00:00.0","1008.5"
"2015-05-30 00:00:00.0","1009.6"
"2015-05-31 00:00:00.0","1009.3"
"2015-06-01 00:00:00.0","1010.0"
"2015-06-02 00:00:00.0","1010.1"
"2015-06-03 00:00:00.0","1010.3"
"2015-06-04 00:00:00.0","1007.6"
"2015-06-05 00:00:00.0","1010.6"
"2015-06-06 00:00:00.0","1011.4"
"2015-06-07 00:00:00.0","1008.8"
"2015-06-08 00:00:00.0","1007.8"
"2015-06-09 00:00:00.0","1006.4"
"2015-06-10 00:00:00.0","1002.8"
"2015-06-11 00:00:00.0","1001.2"
"2015-06-12 00:00:00.0","1001.5"
"2015-06-13 00:00:00.0","1000.6"
"2015-06-14 00:00:00.0","1002.7"
"2015-06-15 00:00:00.0","1010.1"
"2015-06-16 00:00:00.0","1015.2"
"2015-06-17 00:00:00.0","1014.5"
"2015-06-18 00:00:00.0","1012.5"
"2015-06-19 00:00:00.0","1010.9"
"2015-06-20 00:00:00.0","1008.8"
"2015-06-21 00:00:00.0","1006.1"
"2015-06-22 00:00:00.0","1005.1"
"2015-06-23 00:00:00.0","1007.2"
"2015-06-24 00:00:00.0","1009.0"
"2015-06-25 00:00:00.0","1010.6"
"2015-06-26 00:00:00.0","1012.3"
"2015-06-27 00:00:00.0","1011.1"
"2015-06-28 00:00:00.0","1011.2"
"2015-06-29 00:00:00.0","1006.3"
"2015-06-30 00:00:00.0","1003.2"
"2015-07-01 00:00:00.0","1004.1"
"2015-07-02 00:00:00.0","-9999.0"
"2015-07-03 00:00:00.0","-9999.0"
"2015-07-04 00:00:00.0","-9999.0"
"2015-07-05 00:00:00.0","-9999.0"
"2015-07-06 00:00:00.0","-9999.0"
"2015-07-07 00:00:00.0","-9999.0"
"2015-07-08 00:00:00.0","-9999.0"
"2015-07-09 00:00:00.0","-9999.0"
"2015-07-10 00:00:00.0","1009.2"
"2015-07-11 00:00:00.0","1013.8"
"2015-07-12 00:00:00.0","1013.2"
"2015-07-13 00:00:00.0","1012.0"
"2015-07-14 00:00:00.0","1010.2"
"2015-07-15 00:00:00.0","1006.9"
"2015-07-16 00:00:00.0","1006.0"
"2015-07-17 00:00:00.0","1007.5"
"2015-07-18 00:00:00.0","1006.9"
"2015-07-19 00:00:00.0","1007.3"
"2015-07-20 00:00:00.0","1007.1"
"2015-07-21 00:00:00.0","1007.8"
"2015-07-22 00:00:00.0","1011.2"
"2015-07-23 00:00:00.0","1007.1"
"2015-07-24 00:00:00.0","1006.3"
"2015-07-25 00:00:00.0","1010.1"
"2015-07-26 00:00:00.0","1006.5"
"2015-07-27 00:00:00.0","1008.6"
"2015-07-28 00:00:00.0","1006.3"
"2015-07-29 00:00:00.0","1005.6"
"2015-07-30 00:00:00.0","1004.2"
"2015-07-31 00:00:00.0","1003.4"
"2015-08-01 00:00:00.0","1005.2"
"2015-08-02 00:00:00.0","1003.3"
"2015-08-03 00:00:00.0","1006.9"
"2015-08-04 00:00:00.0","1008.3"
"2015-08-05 00:00:00.0","1005.0"
"2015-08-06 00:00:00.0","1006.1"
"2015-08-07 00:00:00.0","1011.5"
"2015-08-08 00:00:00.0","1015.0"
"2015-08-09 00:00:00.0","1010.8"
"2015-08-10 00:00:00.0","1006.1"
"2015-08-11 00:00:00.0","1004.0"
"2015-08-12 00:00:00.0","1005.5"
"2015-08-13 00:00:00.0","1010.4"
"2015-08-14 00:00:00.0","1010.8"
"2015-08-15 00:00:00.0","1006.9"
"2015-08-16 00:00:00.0","1004.7"
"2015-08-17 00:00:00.0","1006.3"
"2015-08-18 00:00:00.0","1007.6"
"2015-08-19 00:00:00.0","1009.5"
"2015-08-20 00:00:00.0","1010.5"
"2015-08-21 00:00:00.0","1009.4"
"2015-08-22 00:00:00.0","1003.8"
"2015-08-23 00:00:00.0","997.4"
"2015-08-24 00:00:00.0","1004.8"
"2015-08-25 00:00:00.0","1006.9"
"2015-08-26 00:00:00.0","1002.8"
"2015-08-27 00:00:00.0","1000.9"
"2015-08-28 00:00:00.0","1005.6"
"2015-08-29 00:00:00.0","1005.3"
"2015-08-30 00:00:00.0","1002.2"
"2015-08-31 00:00:00.0","1006.4"
"2015-09-01 00:00:00.0","1010.2"
"2015-09-02 00:00:00.0","1008.0"
"2015-09-03 00:00:00.0","1009.6"
"2015-09-04 00:00:00.0","1009.3"
"2015-09-05 00:00:00.0","1010.7"
"2015-09-06 00:00:00.0","1010.8"
"2015-09-07 00:00:00.0","1009.9"
