"Instante lectura,""Presión"""
"2013-05-06 00:00:00.0,""905.5"""
"2013-05-07 00:00:00.0,""903.8"""
"2013-05-08 00:00:00.0,""903.8"""
"2013-05-09 00:00:00.0,""905.0"""
"2013-05-10 00:00:00.0,""907.8"""
"2013-05-11 00:00:00.0,""909.3"""
"2013-05-12 00:00:00.0,""909.3"""
"2013-05-13 00:00:00.0,""907.2"""
"2013-05-14 00:00:00.0,""899.4"""
"2013-05-15 00:00:00.0,""894.8"""
"2013-05-16 00:00:00.0,""890.5"""
"2013-05-17 00:00:00.0,""887.8"""
"2013-05-18 00:00:00.0,""897.9"""
"2013-05-19 00:00:00.0,""904.0"""
"2013-05-20 00:00:00.0,""906.2"""
"2013-05-21 00:00:00.0,""906.5"""
"2013-05-22 00:00:00.0,""908.1"""
"2013-05-23 00:00:00.0,""907.1"""
"2013-05-24 00:00:00.0,""906.8"""
"2013-05-25 00:00:00.0,""906.1"""
"2013-05-26 00:00:00.0,""902.5"""
"2013-05-27 00:00:00.0,""899.0"""
"2013-05-28 00:00:00.0,""901.7"""
"2013-05-29 00:00:00.0,""903.1"""
"2013-05-30 00:00:00.0,""908.7"""
"2013-05-31 00:00:00.0,""910.8"""
"2013-06-01 00:00:00.0,""911.2"""
"2013-06-02 00:00:00.0,""908.8"""
"2013-06-03 00:00:00.0,""906.1"""
"2013-06-04 00:00:00.0,""902.6"""
"2013-06-05 00:00:00.0,""901.3"""
"2013-06-06 00:00:00.0,""902.0"""
"2013-06-07 00:00:00.0,""902.6"""
"2013-06-08 00:00:00.0,""902.6"""
"2013-06-09 00:00:00.0,""903.8"""
"2013-06-10 00:00:00.0,""904.8"""
"2013-06-11 00:00:00.0,""907.3"""
"2013-06-12 00:00:00.0,""908.9"""
"2013-06-13 00:00:00.0,""908.4"""
"2013-06-14 00:00:00.0,""906.4"""
"2013-06-15 00:00:00.0,""906.2"""
"2013-06-16 00:00:00.0,""900.6"""
"2013-06-17 00:00:00.0,""898.0"""
"2013-06-18 00:00:00.0,""901.8"""
"2013-06-19 00:00:00.0,""905.7"""
"2013-06-20 00:00:00.0,""907.2"""
"2013-06-21 00:00:00.0,""909.2"""
"2013-06-22 00:00:00.0,""911.5"""
"2013-06-23 00:00:00.0,""912.3"""
"2013-06-24 00:00:00.0,""911.4"""
"2013-06-25 00:00:00.0,""911.1"""
